,engine_capacity,type,registration_year,gearbox,power,model,mileage,fuel,brand,damage,zipcode,insurance_price,price
24458,,station wagon,2001,manual,116,a4,150000,diesel,audi,1,33699,230.0,1547
98831,2.0,limousine,2015,auto,179,mondeo,20000,diesel,ford,0,89257,1950.0,29484
68539,1.6,small car,2010,manual,95,fiesta,150000,diesel,ford,0,50259,210.0,5187
69759,,,2016,auto,105,touran,150000,diesel,volkswagen,,71394,,5460
88976,,limousine,2002,manual,0,andere,125000,gasoline,kia,,26789,110.0,1456
79473,,limousine,93,auto,245,,150000,gasoline,sonstige_autos,0,16567,,2730
14920,,bus,2010,manual,129,sprinter,150000,diesel,mercedes_benz,1,45355,1140.0,7552
18933,,small car,2012,,75,,60000,gasoline,renault,,38312,120.0,5004
46193,2.0,station wagon,2006,manual,140,a4,150000,diesel,audi,0,30173,360.0,5642
9794,1.4,convertible,2004,manual,90,tigra,150000,gasoline,opel,0,85457,250.0,3048
9473,,limousine,1999,auto,150,galant,150000,gasoline,mitsubishi,1,63303,90.0,728
71133,,station wagon,2015,manual,165,6_reihe,10000,gasoline,mazda,0,33615,860.0,20010
19112,,,2006,auto,170,touran,150000,diesel,volkswagen,0,67346,490.0,5732
29062,2.0,limousine,2009,manual,110,golf,150000,diesel,volkswagen,0,61130,550.0,8281
26055,,station wagon,2004,manual,150,astra,150000,diesel,opel,1,39307,330.0,2912
25810,,station wagon,2013,auto,116,3er,40000,diesel,bmw,0,30880,1680.0,21749
75922,1.6,limousine,2002,manual,110,bora,125000,gasoline,volkswagen,0,4299,130.0,4277
50554,,limousine,2003,,0,3er,150000,diesel,bmw,0,65479,160.0,2093
33281,2.0,limousine,2009,auto,170,golf,100000,diesel,volkswagen,0,53913,340.0,15288
98372,,,2016,manual,0,golf,5000,gasoline,volkswagen,0,79115,,1228
44253,,limousine,2015,auto,320,andere,20000,diesel,audi,0,85049,5180.0,55965
29671,1.4,station wagon,2008,manual,90,astra,125000,gasoline,opel,0,91795,350.0,5350
7462,2.0,station wagon,2009,manual,140,6_reihe,150000,diesel,mazda,0,32312,290.0,6278
85489,,convertible,96,manual,0,golf,150000,gasoline,volkswagen,,27412,,500
40499,,limousine,2005,auto,329,7er,150000,diesel,bmw,0,89155,450.0,8053
35488,,limousine,99,auto,286,7er,125000,gasoline,bmw,0,63831,,8180
37587,,station wagon,2005,manual,150,3er,150000,gasoline,bmw,0,48703,400.0,5823
73820,,bus,2011,auto,150,touran,60000,gasoline,volkswagen,,14806,910.0,13276
5885,,bus,1992,manual,77,transporter,150000,diesel,volkswagen,0,25348,1180.0,12740
28271,,coupé,2000,auto,196,clk,150000,liquefied petroleum gas,mercedes_benz,0,33719,130.0,3094
12442,,station wagon,2002,auto,143,c_klasse,150000,diesel,mercedes_benz,0,35415,210.0,2730
36729,,convertible,2004,auto,163,slk,150000,gasoline,mercedes_benz,0,75057,930.0,8372
48762,,,2016,manual,180,3er,150000,gasoline,bmw,,89520,30.0,2275
59530,1.8,limousine,1999,manual,209,a3,150000,gasoline,audi,0,96515,220.0,4095
48054,,station wagon,2004,manual,101,focus,150000,diesel,ford,1,59846,,455
83664,2.0,,2010,manual,140,tiguan,150000,diesel,volkswagen,0,42289,1350.0,16379
52433,,limousine,2000,manual,105,3er,150000,gasoline,bmw,1,99955,320.0,1911
33054,1.8,limousine,1997,manual,115,mondeo,150000,gasoline,ford,0,1833,50.0,819
94655,2.0,station wagon,2004,manual,136,passat,150000,diesel,volkswagen,0,35444,460.0,4176
3063,2.5,limousine,1998,manual,167,andere,150000,gasoline,mazda,0,66583,40.0,910
83645,,small car,1997,manual,54,corsa,150000,gasoline,opel,0,53639,70.0,1365
30833,1.6,bus,2004,manual,97,zafira,150000,compressed natural gas,opel,0,97318,140.0,1774
31328,,limousine,2000,manual,90,a_klasse,125000,diesel,mercedes_benz,0,91522,140.0,2022
26604,1.8,coupé,1998,manual,125,a3,5000,gasoline,audi,0,67657,70.0,1092
30792,,,2016,manual,60,polo,5000,gasoline,volkswagen,,86179,,1182
23954,2.0,limousine,09,manual,110,golf,125000,diesel,volkswagen,0,57629,,8180
85264,1.9,limousine,2002,auto,131,a3,150000,diesel,audi,0,33335,70.0,1911
57164,,other,2002,manual,116,3er,150000,gasoline,bmw,0,86660,150.0,1547
72933,,small car,1998,manual,90,3er,150000,diesel,bmw,0,52399,60.0,1092
64939,1.4,small car,2006,,0,polo,150000,diesel,volkswagen,,60314,190.0,2457
47312,,small car,1996,manual,60,polo,50000,gasoline,volkswagen,0,68305,140.0,2093
26119,2.0,station wagon,2004,manual,101,astra,150000,diesel,opel,0,65187,90.0,1355
41975,1.2,small car,04,manual,58,twingo,125000,gasoline,renault,0,32105,,1719
53983,,limousine,1999,manual,101,astra,150000,gasoline,opel,0,51580,40.0,910
84631,,small car,2010,manual,90,polo,125000,diesel,volkswagen,0,49624,610.0,6825
25004,,station wagon,2004,manual,192,3er,90000,gasoline,bmw,0,98529,470.0,8599
10137,2.0,coupé,2009,auto,140,megane,50000,gasoline,renault,0,49170,620.0,8372
45094,,station wagon,2000,manual,116,focus,150000,gasoline,ford,0,66386,30.0,837
1113,1.6,bus,2011,manual,116,andere,125000,diesel,ford,0,25436,570.0,8918
10180,,coupé,1984,manual,0,andere,30000,gasoline,porsche,,13407,310.0,2679
41238,,small car,2004,manual,44,clio,150000,gasoline,renault,,3238,90.0,1410
54362,,limousine,11,auto,0,e_klasse,150000,diesel,mercedes_benz,0,65239,,13013
95083,,limousine,2008,manual,122,1er,150000,gasoline,bmw,1,15712,690.0,6279
49050,2.0,limousine,2005,,0,a3,150000,diesel,audi,,55118,240.0,3276
29304,,bus,2007,manual,131,transporter,150000,diesel,volkswagen,0,89291,530.0,5915
27893,,,2016,manual,109,clubman,150000,,mini,0,23866,100.0,8099
73287,,limousine,1998,manual,0,c_klasse,150000,gasoline,mercedes_benz,0,88367,110.0,1638
93611,2.0,bus,2007,manual,143,5_reihe,150000,diesel,mazda,0,75173,490.0,4504
14588,,small car,2010,manual,156,andere,50000,gasoline,citroen,0,44339,450.0,9555
16433,1.6,limousine,1998,manual,101,astra,150000,gasoline,opel,0,99880,50.0,1173
34151,,station wagon,1999,manual,101,,150000,gasoline,audi,1,44575,100.0,773
84476,,coupé,2008,manual,272,tt,100000,gasoline,audi,,56249,1610.0,21385
47000,,,2016,auto,179,a6,150000,,audi,0,78662,,2593
72125,2.0,station wagon,2003,manual,141,6_reihe,150000,gasoline,mazda,0,48356,290.0,3549
57316,,other,2010,auto,15,,5000,gasoline,sonstige_autos,,15370,270.0,3185
47315,,small car,99,auto,65,corsa,125000,gasoline,opel,,9496,,1092
95640,,small car,2001,,0,andere,50000,,citroen,,39356,60.0,1365
6678,,small car,1998,auto,58,corsa,100000,gasoline,opel,,99625,60.0,864
50081,1.8,limousine,95,auto,125,a4,40000,gasoline,audi,0,79219,,4186
75787,,limousine,1998,auto,95,e_klasse,150000,diesel,mercedes_benz,1,34289,90.0,910
40343,2.0,station wagon,2006,auto,170,a6,150000,gasoline,audi,0,18107,480.0,8827
10070,,small car,2004,manual,75,2_reihe,150000,gasoline,peugeot,0,66386,120.0,1911
69739,,station wagon,1994,manual,150,100,150000,liquefied petroleum gas,audi,0,10961,90.0,591
13445,1.2,small car,2013,manual,69,ibiza,50000,gasoline,seat,0,59174,650.0,9054
72284,,station wagon,1999,manual,100,passat,150000,gasoline,volkswagen,,64832,80.0,1092
38190,2.0,limousine,1996,manual,116,golf,150000,gasoline,volkswagen,0,9496,60.0,1456
99868,1.4,bus,1998,manual,75,berlingo,150000,gasoline,citroen,1,18276,140.0,545
76620,1.9,station wagon,2006,manual,131,passat,150000,diesel,volkswagen,0,14480,290.0,4231
26588,,,2016,manual,140,3er,150000,gasoline,bmw,,21614,,1683
50755,,small car,2010,manual,98,one,50000,gasoline,mini,0,79725,630.0,9919
91619,2.0,limousine,1991,manual,122,andere,125000,gasoline,mercedes_benz,0,97286,230.0,5915
40751,,bus,2012,manual,105,golf,60000,gasoline,volkswagen,0,21509,1000.0,10920
79076,,small car,2005,auto,41,fortwo,80000,diesel,smart,0,23847,240.0,2957
65179,,limousine,2008,manual,143,3er,125000,gasoline,bmw,0,32676,870.0,8180
63542,1.6,limousine,2003,manual,102,beetle,125000,gasoline,volkswagen,0,65549,210.0,3549
70810,1.6,small car,2004,manual,101,focus,150000,gasoline,ford,1,35435,160.0,1001
98772,1.4,small car,2005,auto,75,polo,90000,gasoline,volkswagen,0,63450,200.0,3003
69792,,other,1997,manual,0,,60000,gasoline,sonstige_autos,,79540,130.0,2730
22483,,coupé,2001,auto,0,c_klasse,150000,diesel,mercedes_benz,,42277,160.0,1547
26074,1.1,small car,2011,manual,65,picanto,40000,gasoline,kia,0,36179,360.0,5369
56778,3.0,limousine,2005,auto,218,x_reihe,150000,diesel,bmw,1,88448,600.0,7280
34248,,limousine,2013,manual,230,golf,40000,gasoline,volkswagen,0,38518,1240.0,20010
90193,,,1995,manual,68,transporter,150000,diesel,volkswagen,,37632,100.0,773
67979,1.2,small car,2003,manual,47,polo,150000,,volkswagen,0,85716,150.0,2502
30087,,convertible,09,manual,170,3er,150000,diesel,bmw,0,74632,,16835
45046,,bus,99,manual,120,sprinter,150000,diesel,mercedes_benz,,88521,,3185
87684,,bus,2003,manual,158,andere,150000,gasoline,peugeot,0,10409,200.0,2639
42131,1.6,other,2003,manual,95,kangoo,150000,gasoline,renault,0,21720,240.0,2684
98743,,limousine,2006,auto,231,3er,150000,diesel,bmw,1,77815,1080.0,9873
2622,,coupé,2002,auto,61,fortwo,100000,gasoline,smart,1,63743,100.0,1547
69933,,station wagon,2006,auto,231,3er,150000,diesel,bmw,0,66894,1330.0,14104
66396,,bus,2003,manual,102,transporter,150000,diesel,volkswagen,0,26904,190.0,3185
63212,,,16,manual,0,,150000,,fiat,1,66440,,909
58831,1.3,small car,2010,manual,98,andere,90000,gasoline,toyota,0,63739,340.0,4540
78446,,small car,1998,manual,54,corsa,150000,gasoline,opel,0,49637,90.0,682
1535,,bus,2004,manual,101,,150000,gasoline,mazda,0,72762,160.0,2547
57476,,bus,2007,manual,174,transporter,125000,diesel,volkswagen,0,76547,1120.0,22750
12303,2.0,limousine,2006,manual,200,leon,150000,gasoline,seat,0,75389,500.0,6825
5435,,station wagon,2006,manual,143,c_klasse,125000,gasoline,mercedes_benz,0,98554,440.0,6279
24623,,small car,2000,auto,54,fortwo,150000,gasoline,smart,0,41238,70.0,1164
78203,4.7,,2000,auto,0,grand,150000,gasoline,jeep,,27753,80.0,2093
95402,,,83,manual,75,andere,10000,gasoline,volkswagen,0,56316,,7143
97778,,small car,2001,manual,0,,150000,gasoline,volkswagen,,28217,50.0,728
50090,,limousine,1997,auto,193,5er,150000,liquefied petroleum gas,bmw,0,41569,140.0,3185
15600,,limousine,2008,auto,177,3er,150000,diesel,bmw,0,84405,820.0,9009
45188,1.2,small car,2009,manual,69,ka,50000,gasoline,ford,0,95030,240.0,3339
38167,,small car,1998,manual,0,focus,125000,,ford,0,6493,70.0,910
4620,1.4,small car,2007,manual,86,ibiza,100000,gasoline,seat,0,38690,360.0,3630
39965,,small car,2001,manual,95,a_klasse,150000,diesel,mercedes_benz,,52511,130.0,1501
45294,,limousine,1991,manual,150,5er,150000,gasoline,bmw,0,51597,40.0,1319
27090,,station wagon,2003,manual,106,,150000,gasoline,sonstige_autos,0,17033,80.0,728
3601,,,2016,manual,0,andere,150000,gasoline,suzuki,,16269,,500
19169,,,00,,0,,5000,gasoline,volkswagen,,47441,,500
57242,,,2016,,0,caddy,150000,liquefied petroleum gas,volkswagen,0,17406,,2002
30784,1.6,station wagon,2012,manual,105,golf,150000,diesel,volkswagen,0,25436,440.0,6178
1855,2.0,station wagon,2002,manual,116,mondeo,150000,diesel,ford,0,59846,240.0,2957
28313,1.8,coupé,1999,manual,240,tt,100000,gasoline,audi,0,59399,320.0,5232
73979,,,2000,manual,90,andere,150000,gasoline,citroen,0,87634,40.0,1183
37642,,small car,2001,manual,69,ka,125000,gasoline,ford,0,42899,80.0,682
48351,,station wagon,2005,manual,75,fabia,125000,gasoline,skoda,,49632,300.0,2639
72788,,station wagon,2005,manual,125,,5000,gasoline,opel,0,48336,220.0,2957
75234,,,2016,manual,101,,150000,,audi,1,35066,30.0,682
86450,2.0,,14,manual,177,tiguan,40000,diesel,volkswagen,0,38110,,27209
1251,,station wagon,1997,manual,0,vectra,150000,,opel,0,78253,90.0,728
49257,,small car,2009,,61,fortwo,80000,gasoline,smart,0,58454,340.0,5096
69342,,station wagon,1983,auto,125,andere,150000,diesel,mercedes_benz,0,58456,270.0,2275
93589,1.4,station wagon,2004,manual,101,fabia,60000,gasoline,skoda,0,29614,190.0,4049
43868,1.8,limousine,2004,manual,163,a4,150000,gasoline,audi,0,84109,720.0,4823
1275,3.0,convertible,2011,auto,239,a5,90000,diesel,audi,0,40217,1820.0,25389
91220,,convertible,1999,manual,75,astra,150000,gasoline,opel,0,23623,70.0,864
42866,1.2,small car,2003,auto,75,corsa,125000,gasoline,opel,0,99102,180.0,2002
35533,1.4,coupé,2010,manual,160,scirocco,125000,gasoline,volkswagen,0,42489,500.0,8326
42393,,limousine,2008,auto,109,c4,150000,diesel,citroen,0,80689,480.0,7644
63518,1.7,small car,2008,manual,125,corsa,150000,diesel,opel,0,60314,190.0,3822
89581,,limousine,2001,manual,95,a_klasse,150000,diesel,mercedes_benz,0,12163,30.0,1456
17623,,limousine,2000,auto,102,a_klasse,150000,gasoline,mercedes_benz,0,41748,100.0,1046
54588,,bus,2008,manual,174,transporter,150000,diesel,volkswagen,0,1067,350.0,4459
19412,1.6,station wagon,1997,manual,101,golf,150000,gasoline,volkswagen,0,91459,40.0,910
25296,,small car,2013,manual,60,up,20000,gasoline,volkswagen,0,47443,400.0,7735
92586,,coupé,1985,auto,231,andere,150000,gasoline,mercedes_benz,0,68723,1000.0,14105
75220,,,2016,manual,75,twingo,125000,gasoline,renault,0,39164,10.0,954
56318,,limousine,2007,manual,102,a4,125000,gasoline,audi,0,26639,540.0,8189
71647,,limousine,2012,auto,170,e_klasse,60000,diesel,mercedes_benz,0,96050,1950.0,21840
85990,2.0,,2016,auto,140,passat,60000,diesel,volkswagen,,53840,,13377
45085,,limousine,2004,manual,101,focus,150000,gasoline,ford,1,51063,260.0,2184
61749,,,2005,auto,106,andere,150000,gasoline,suzuki,0,88447,80.0,1456
97736,1.9,,2016,,0,punto,150000,diesel,fiat,,65934,10.0,546
13359,,small car,1999,manual,75,golf,150000,gasoline,volkswagen,0,49716,140.0,1729
20586,,limousine,1999,manual,101,passat,150000,gasoline,volkswagen,0,76437,140.0,1820
41352,1.0,small car,2002,manual,58,andere,100000,gasoline,hyundai,0,70192,50.0,1092
58877,1.2,small car,2008,manual,69,polo,125000,gasoline,volkswagen,0,83549,200.0,4368
72345,1.8,station wagon,1999,auto,150,passat,150000,gasoline,volkswagen,0,71634,170.0,1501
41954,,,2002,manual,124,nubira,150000,gasoline,daewoo,0,72393,70.0,773
27805,,bus,2000,manual,101,andere,150000,gasoline,mazda,0,41541,70.0,909
44280,1.4,limousine,1999,manual,90,civic,125000,gasoline,honda,0,90439,150.0,2138
21100,2.0,station wagon,2011,manual,170,octavia,80000,diesel,skoda,0,72361,460.0,14105
25149,1.6,limousine,2004,manual,101,focus,150000,gasoline,ford,0,37327,90.0,1455
20597,1.8,limousine,2002,manual,224,andere,150000,gasoline,audi,0,24790,310.0,6597
42377,,,2016,manual,115,80,150000,gasoline,audi,,49084,60.0,3185
12560,,,1980,,0,andere,150000,,volkswagen,,68165,120.0,864
25449,1.4,limousine,2004,manual,98,megane,150000,gasoline,renault,0,58840,140.0,1683
66226,,limousine,2005,auto,0,andere,150000,gasoline,mercedes_benz,0,52353,590.0,8463
78744,,station wagon,1997,manual,75,polo,150000,gasoline,volkswagen,0,9112,110.0,590
44046,,small car,2002,manual,75,corsa,125000,gasoline,opel,0,49186,150.0,1729
32846,,,2016,manual,115,,150000,gasoline,bmw,,17192,,2639
99032,,limousine,2000,manual,140,156,150000,diesel,alfa_romeo,,79367,150.0,1638
54125,,,1980,auto,101,100,40000,gasoline,audi,0,13055,2220.0,13650
66779,,,2005,manual,0,a3,150000,diesel,audi,0,44892,160.0,3185
38432,,convertible,2003,manual,136,andere,150000,gasoline,peugeot,,27612,90.0,728
48496,,,1966,manual,71,andere,10000,gasoline,ford,0,56743,1750.0,10465
67992,1.4,limousine,2009,manual,80,golf,80000,gasoline,volkswagen,0,45699,520.0,7553
2891,1.8,limousine,1999,manual,116,focus,150000,gasoline,ford,0,65183,60.0,1365
14781,1.2,small car,2011,manual,75,twingo,60000,gasoline,renault,0,40476,280.0,3776
6402,,bus,1997,manual,145,galaxy,150000,gasoline,ford,0,51709,90.0,1001
83943,,limousine,1997,manual,150,a4,150000,gasoline,audi,,15234,90.0,1819
33974,1.9,station wagon,2004,manual,120,laguna,150000,diesel,renault,0,33659,140.0,1592
27905,,small car,2009,manual,68,,60000,gasoline,peugeot,,46354,200.0,3640
1493,2.0,bus,2007,manual,170,touran,125000,diesel,volkswagen,0,63263,890.0,10465
248,,coupé,2005,auto,367,6er,150000,gasoline,bmw,0,49565,1840.0,23659
46767,1.4,small car,1999,manual,75,civic,90000,gasoline,honda,0,1728,50.0,1091
89582,,station wagon,2013,manual,69,fabia,50000,gasoline,skoda,0,37574,600.0,8189
79544,1.4,small car,2002,manual,75,polo,20000,gasoline,volkswagen,0,26209,100.0,2093
66145,,limousine,2005,manual,163,3er,150000,diesel,bmw,,76287,260.0,3776
41440,,station wagon,1996,manual,116,mondeo,150000,gasoline,ford,0,91731,80.0,637
23637,,station wagon,2007,auto,163,3er,150000,diesel,bmw,0,90449,580.0,6360
40545,1.6,station wagon,2011,,0,focus,90000,diesel,ford,0,24251,460.0,8417
49019,2.0,limousine,2004,manual,140,a3,150000,diesel,audi,0,76139,190.0,4186
23346,1.4,coupé,2009,manual,160,scirocco,125000,gasoline,volkswagen,0,45309,590.0,8099
460,1.8,bus,2002,manual,97,zafira,150000,gasoline,opel,0,79115,40.0,1046
327,1.2,small car,2009,manual,80,corsa,125000,gasoline,opel,0,94447,130.0,3458
27162,,limousine,2006,manual,250,golf,125000,gasoline,volkswagen,0,25479,800.0,12649
32999,,limousine,1991,manual,98,golf,150000,gasoline,volkswagen,0,59929,260.0,3458
65910,,station wagon,2005,manual,175,andere,125000,gasoline,saab,1,12205,280.0,2366
88865,,small car,2009,auto,68,aygo,20000,gasoline,toyota,0,12309,160.0,3594
21701,,limousine,1983,manual,136,andere,150000,gasoline,mercedes_benz,0,65195,400.0,4368
63869,,limousine,2001,manual,105,c_klasse,150000,diesel,mercedes_benz,0,59067,200.0,2457
27613,,small car,1997,manual,55,twingo,150000,gasoline,renault,,40227,,500
77001,2.0,coupé,2008,auto,140,scirocco,80000,diesel,volkswagen,0,56754,1250.0,12285
74122,,small car,2000,manual,0,lupo,100000,,volkswagen,,31832,220.0,1819
6379,,limousine,2003,auto,140,mondeo,150000,,ford,1,52525,150.0,910
22572,1.2,small car,2007,manual,80,corsa,80000,gasoline,opel,0,64521,180.0,3458
84406,,small car,2003,manual,58,agila,150000,gasoline,opel,,50169,50.0,1446
6668,,small car,1998,manual,60,fiesta,150000,gasoline,ford,0,50374,80.0,728
19660,1.6,limousine,2013,manual,105,octavia,100000,diesel,skoda,0,31224,510.0,11375
20232,2.0,station wagon,2009,manual,160,v70,150000,diesel,volvo,0,27753,620.0,8736
79880,,coupé,2001,manual,343,m_reihe,80000,gasoline,bmw,,67661,1730.0,21839
17669,,small car,2001,manual,58,twingo,150000,gasoline,renault,0,37154,80.0,682
35369,,coupé,2000,auto,163,clk,40000,gasoline,mercedes_benz,0,47574,380.0,5369
10890,,station wagon,2000,manual,101,golf,150000,,volkswagen,0,35260,70.0,1274
33752,,bus,2007,auto,190,andere,150000,diesel,mercedes_benz,0,86444,1080.0,17062
70615,,,2016,manual,75,kangoo,150000,gasoline,renault,0,48351,,882
36155,,bus,2004,manual,0,modus,90000,gasoline,renault,0,50389,70.0,1820
55237,,convertible,1977,manual,50,kaefer,100000,gasoline,volkswagen,0,85748,1080.0,7734
7809,,limousine,2001,manual,116,3er,150000,gasoline,bmw,1,66578,140.0,864
65661,,,15,auto,177,tiguan,20000,diesel,volkswagen,0,38442,,29939
88169,,station wagon,2001,auto,231,5er,150000,gasoline,bmw,0,55411,190.0,4094
55326,,station wagon,2001,manual,90,3_reihe,150000,diesel,peugeot,1,73117,110.0,819
38962,1.4,limousine,1998,manual,74,3_reihe,150000,gasoline,mazda,0,66663,70.0,1091
52552,,convertible,2013,auto,245,3er,40000,diesel,bmw,0,73268,2320.0,32658
73061,1.4,small car,2004,manual,75,c2,150000,gasoline,citroen,0,69126,120.0,1547
55623,1.2,small car,1998,manual,58,twingo,150000,gasoline,renault,0,12169,50.0,900
64619,,,09,auto,306,m_klasse,150000,diesel,mercedes_benz,0,60311,,24479
84380,1.4,station wagon,2009,auto,122,golf,125000,gasoline,volkswagen,0,38448,420.0,8099
12619,1.3,small car,2005,manual,60,fiesta,150000,gasoline,ford,0,24944,110.0,728
46543,,limousine,2000,manual,144,omega,100000,gasoline,opel,0,44867,140.0,1911
50072,,limousine,86,manual,105,andere,150000,gasoline,mercedes_benz,0,57555,,1819
42097,,small car,2004,manual,88,2_reihe,125000,gasoline,peugeot,,45899,70.0,2274
38371,,small car,1995,manual,0,polo,150000,gasoline,volkswagen,0,73479,70.0,773
171,1.6,convertible,2000,manual,101,golf,150000,gasoline,volkswagen,0,39124,130.0,1815
63466,,station wagon,2003,auto,170,c_klasse,150000,gasoline,mercedes_benz,0,65189,560.0,6096
32024,,,2005,manual,0,zafira,150000,gasoline,opel,,55411,80.0,1456
62514,,limousine,09,auto,231,e_klasse,150000,diesel,mercedes_benz,0,44359,,19929
91621,,coupé,2007,manual,197,3er,150000,diesel,bmw,0,67574,550.0,11739
75267,,station wagon,2006,auto,224,e_klasse,150000,diesel,mercedes_benz,0,75015,450.0,9099
64616,2.4,,1993,manual,125,andere,150000,gasoline,opel,0,96328,120.0,1001
99320,,limousine,2010,auto,204,5er,150000,diesel,bmw,0,52068,1600.0,19929
4804,,,2012,auto,239,q5,125000,diesel,audi,0,69514,1610.0,29120
89713,,bus,2013,manual,163,vito,80000,diesel,mercedes_benz,0,65795,1020.0,16835
49582,1.4,small car,2007,auto,69,aveo,60000,gasoline,chevrolet,,60437,90.0,2002
19209,,small car,2002,manual,114,almera,150000,diesel,nissan,,35396,60.0,910
9991,,small car,2005,manual,75,2_reihe,150000,gasoline,peugeot,0,45329,100.0,1547
60758,,small car,01,manual,59,seicento,150000,gasoline,fiat,,50739,,455
98365,,station wagon,1999,auto,196,e_klasse,150000,diesel,mercedes_benz,,26169,170.0,1592
38470,,limousine,2005,manual,224,a6,150000,diesel,audi,0,99086,430.0,7917
86825,1.4,station wagon,2013,manual,125,superb,40000,gasoline,skoda,0,36145,720.0,17199
15247,,convertible,2007,manual,144,2_reihe,150000,diesel,peugeot,0,91154,190.0,3822
95222,1.4,small car,2002,manual,68,fiesta,150000,diesel,ford,0,56244,160.0,1501
11471,,limousine,2006,manual,75,,125000,,mercedes_benz,0,23554,550.0,5005
32247,,bus,1999,manual,0,,150000,,citroen,1,26871,130.0,546
13278,,limousine,2006,manual,101,jetta,125000,gasoline,volkswagen,0,99974,320.0,5268
88963,,,2009,auto,239,cayenne,150000,diesel,porsche,0,79361,2110.0,20839
22159,,limousine,1989,manual,69,golf,150000,gasoline,volkswagen,0,95485,100.0,773
57146,,limousine,2009,manual,120,c4,125000,gasoline,citroen,0,47239,190.0,4914
42557,2.0,station wagon,10,manual,140,a3,150000,diesel,audi,0,93057,,12093
39619,,limousine,97,manual,1362,e_klasse,150000,gasoline,mercedes_benz,1,47226,,728
34290,,small car,2004,manual,70,a_klasse,150000,diesel,mercedes_benz,1,27749,140.0,1092
29419,,limousine,1996,manual,102,3er,150000,gasoline,bmw,0,85250,,500
30656,2.5,,2003,manual,0,touareg,150000,diesel,volkswagen,,40210,230.0,4095
34677,,bus,2008,manual,120,andere,150000,diesel,citroen,0,8468,260.0,2684
68884,,coupé,2003,manual,345,911,150000,gasoline,porsche,0,76889,3140.0,49059
72915,1.2,limousine,2010,manual,69,polo,50000,gasoline,volkswagen,,10999,470.0,6370
50786,,limousine,2003,manual,102,andere,150000,gasoline,kia,0,67595,100.0,546
151,,small car,1998,manual,60,punto,150000,gasoline,fiat,0,78052,70.0,1137
81747,,limousine,2011,auto,245,x_reihe,150000,diesel,bmw,0,83646,1660.0,25935
62647,,station wagon,2004,manual,218,,150000,diesel,bmw,0,85084,410.0,5733
33855,,convertible,2013,auto,211,beetle,30000,gasoline,volkswagen,0,48703,820.0,24196
